iter	Passed	Remaining
0	165	165145
1	167	83584
2	169	56386
3	171	42650
4	173	34571
5	175	29029
6	176	25070
7	178	22098
8	179	19761
9	180	17875
10	181	16341
11	183	15092
12	184	14014
13	185	13061
14	186	12232
15	187	11509
16	188	10872
17	189	10322
18	190	9814
19	190	9352
20	191	8930
21	192	8545
22	192	8190
23	193	7863
24	194	7570
25	195	7311
26	195	7056
27	196	6817
28	196	6595
29	197	6387
30	198	6197
31	198	6015
32	199	5844
33	200	5682
34	200	5539
35	201	5407
36	202	5274
37	203	5147
38	204	5026
39	204	4912
40	205	4801
41	205	4696
42	206	4598
43	207	4513
44	208	4424
45	209	4337
46	209	4253
47	210	4173
48	211	4095
49	211	4021
50	212	3955
51	214	3902
52	214	3837
53	215	3773
54	216	3712
55	216	3652
56	217	3595
57	217	3539
58	218	3488
59	220	3447
60	220	3398
61	221	3348
62	221	3301
63	222	3255
64	223	3210
65	223	3167
66	224	3125
67	225	3085
68	226	3050
69	226	3015
70	227	2979
71	228	2943
72	229	2908
73	229	2874
74	230	2841
75	231	2810
76	232	2781
77	232	2751
78	233	2721
79	234	2691
80	234	2662
81	235	2633
82	235	2602
83	236	2575
84	236	2548
85	237	2523
86	238	2500
87	239	2477
88	239	2453
89	240	2430
90	241	2407
91	241	2384
92	242	2362
93	242	2341
94	243	2320
95	244	2302
96	245	2285
97	246	2266
98	246	2245
99	247	2226
100	247	2207
101	248	2188
102	249	2169
103	249	2151
104	250	2136
105	251	2121
106	252	2105
107	252	2088
108	253	2071
109	254	2055
110	254	2040
111	255	2025
112	256	2010
113	257	1997
114	257	1983
115	258	1969
116	258	1953
117	259	1939
118	260	1925
119	260	1911
120	261	1897
121	261	1882
122	262	1869
123	262	1857
124	263	1846
125	264	1833
126	264	1820
127	265	1808
128	265	1795
129	266	1783
130	267	1771
131	267	1760
132	268	1748
133	268	1737
134	270	1732
135	271	1722
136	271	1711
137	272	1701
138	272	1690
139	273	1680
140	274	1669
141	274	1658
142	275	1648
143	275	1639
144	276	1631
145	277	1621
146	277	1611
147	278	1602
148	278	1593
149	279	1583
150	280	1575
151	280	1566
152	281	1558
153	282	1551
154	283	1543
155	283	1535
156	284	1527
157	284	1518
158	285	1510
159	286	1502
160	286	1492
161	287	1484
162	287	1477
163	288	1472
164	289	1465
165	290	1458
166	290	1450
167	291	1443
168	291	1435
169	293	1431
170	293	1424
171	294	1417
172	295	1410
173	295	1403
174	296	1396
175	296	1389
176	297	1382
177	298	1376
178	298	1370
179	299	1365
180	300	1359
181	300	1352
182	301	1346
183	302	1339
184	302	1334
185	303	1328
186	304	1321
187	304	1317
188	305	1312
189	306	1306
190	307	1300
191	307	1294
192	308	1288
193	308	1282
194	309	1277
195	309	1271
196	310	1265
197	311	1261
198	312	1256
199	312	1251
200	313	1245
201	313	1240
202	314	1234
203	315	1229
204	315	1223
205	316	1218
206	316	1213
207	317	1210
208	318	1205
209	319	1200
210	319	1195
211	320	1190
212	320	1185
213	321	1180
214	322	1175
215	322	1170
216	323	1166
217	324	1162
218	325	1159
219	325	1154
220	326	1149
221	326	1145
222	327	1140
223	327	1135
224	328	1131
225	328	1126
226	329	1122
227	330	1119
228	331	1116
229	332	1112
230	332	1107
231	333	1103
232	333	1099
233	334	1094
234	335	1090
235	335	1086
236	336	1082
237	337	1079
238	337	1075
239	338	1071
240	338	1067
241	339	1063
242	340	1059
243	340	1055
244	341	1051
245	341	1047
246	342	1043
247	343	1041
248	344	1037
249	344	1034
250	345	1030
251	346	1027
252	346	1023
253	347	1020
254	348	1017
255	349	1015
256	350	1012
257	351	1009
258	351	1006
259	352	1003
260	353	1000
261	353	996
262	354	993
263	355	991
264	356	988
265	357	985
266	357	982
267	358	978
268	358	975
269	359	972
270	360	969
271	361	966
272	362	965
273	363	962
274	363	959
275	364	956
276	365	953
277	366	950
278	366	947
279	367	945
280	368	942
281	369	940
282	370	938
283	371	935
284	372	933
285	372	930
286	373	928
287	375	928
288	377	927
289	378	925
290	379	923
291	379	921
292	381	919
293	382	917
294	382	914
295	383	911
296	384	909
297	384	906
298	385	904
299	386	902
300	387	900
301	388	898
302	389	896
303	390	893
304	391	891
305	392	889
306	392	886
307	393	884
308	394	882
309	395	879
310	395	877
311	396	874
312	397	871
313	397	869
314	398	866
315	399	864
316	400	862
317	401	860
318	401	857
319	402	855
320	402	852
321	403	850
322	404	847
323	405	845
324	405	843
325	406	841
326	407	838
327	408	836
328	408	833
329	409	830
330	409	828
331	410	825
332	411	823
333	411	821
334	412	819
335	413	817
336	414	814
337	414	812
338	415	809
339	416	807
340	416	805
341	417	802
342	417	800
343	419	800
344	421	799
345	421	797
346	422	794
347	423	792
348	423	790
349	424	788
350	425	786
351	426	784
352	426	782
353	427	780
354	428	777
355	428	775
356	429	773
357	429	770
358	430	768
359	431	766
360	432	765
361	433	763
362	433	761
363	434	759
364	435	757
365	435	755
366	436	752
367	437	750
368	438	749
369	438	747
370	439	745
371	440	742
372	440	740
373	441	738
374	441	736
375	442	733
376	442	731
377	443	729
378	444	727
379	444	725
380	445	723
381	445	721
382	446	719
383	447	717
384	447	715
385	448	713
386	449	711
387	449	709
388	450	707
389	451	705
390	451	703
391	452	701
392	452	699
393	453	697
394	453	695
395	454	693
396	455	691
397	455	689
398	456	687
399	457	685
400	457	684
401	458	682
402	459	680
403	459	678
404	460	676
405	460	674
406	461	672
407	462	671
408	463	669
409	464	668
410	465	666
411	465	664
412	466	662
413	466	660
414	467	658
415	467	656
416	468	654
417	468	652
418	469	650
419	470	649
420	471	647
421	471	645
422	472	644
423	472	642
424	473	640
425	473	638
426	474	636
427	474	634
428	475	632
429	476	631
430	477	630
431	478	628
432	478	626
433	479	625
434	479	623
435	480	621
436	481	619
437	482	618
438	482	617
439	483	615
440	484	613
441	484	612
442	485	610
443	485	608
444	486	606
445	486	604
446	487	603
447	488	601
448	489	600
449	490	599
450	491	597
451	492	596
452	493	595
453	494	594
454	495	593
455	496	592
456	497	590
457	497	588
458	498	587
459	499	586
460	500	584
461	500	583
462	501	582
463	502	580
464	503	579
465	504	578
466	505	576
467	505	574
468	506	573
469	507	572
470	508	571
471	509	570
472	510	568
473	510	566
474	511	565
475	512	563
476	512	562
477	514	561
478	515	560
479	516	559
480	516	557
481	517	556
482	518	554
483	519	553
484	519	552
485	520	550
486	521	549
487	522	548
488	523	546
489	524	545
490	524	544
491	525	542
492	526	541
493	528	541
494	529	539
495	529	538
496	530	536
497	530	535
498	531	534
499	534	534
500	534	532
501	535	531
502	536	529
503	536	528
504	537	526
505	538	526
506	539	524
507	540	523
508	541	521
509	541	520
510	542	518
511	542	517
512	543	516
513	544	514
514	545	513
515	546	512
516	546	510
517	547	509
518	548	508
519	548	506
520	549	505
521	550	504
522	551	503
523	552	501
524	552	500
525	553	498
526	554	497
527	554	495
528	555	494
529	556	493
530	557	492
531	557	490
532	558	489
533	558	487
534	559	486
535	560	485
536	561	483
537	561	482
538	562	480
539	563	479
540	563	478
541	564	477
542	565	475
543	565	474
544	566	472
545	567	471
546	567	470
547	568	468
548	569	467
549	570	466
550	571	465
551	571	463
552	572	462
553	572	461
554	573	459
555	574	458
556	575	457
557	576	456
558	577	455
559	577	453
560	578	452
561	578	451
562	579	449
563	579	448
564	580	446
565	581	445
566	582	444
567	582	443
568	583	441
569	584	440
570	584	439
571	585	438
572	586	436
573	586	435
574	587	434
575	588	433
576	589	431
577	589	430
578	590	429
579	591	427
580	591	426
581	592	425
582	592	424
583	593	422
584	594	421
585	595	420
586	596	419
587	596	418
588	597	416
589	598	415
590	598	414
591	599	413
592	599	411
593	601	410
594	601	409
595	602	408
596	603	407
597	604	406
598	605	405
599	605	403
600	606	402
601	607	401
602	608	400
603	608	399
604	609	397
605	610	396
606	610	395
607	611	394
608	612	392
609	612	391
610	613	390
611	614	389
612	615	388
613	615	387
614	616	385
615	617	384
616	617	383
617	618	382
618	619	381
619	620	380
620	621	379
621	621	377
622	622	376
623	622	375
624	623	374
625	624	372
626	624	371
627	625	370
628	626	369
629	627	368
630	627	367
631	628	365
632	629	364
633	629	363
634	630	362
635	630	361
636	631	359
637	632	359
638	633	358
639	634	356
640	635	355
641	635	354
642	636	353
643	636	352
644	637	350
645	638	349
646	639	348
647	640	347
648	640	346
649	641	345
650	641	344
651	642	342
652	643	341
653	643	340
654	644	339
655	645	338
656	646	337
657	647	336
658	647	335
659	648	334
660	648	332
661	649	331
662	650	330
663	651	329
664	652	328
665	652	327
666	653	326
667	654	325
668	654	323
669	655	322
670	655	321
671	656	320
672	657	319
673	657	318
674	658	317
675	659	315
676	659	314
677	660	313
678	661	312
679	662	311
680	663	310
681	663	309
682	664	308
683	664	307
684	665	306
685	666	304
686	666	303
687	667	302
688	668	301
689	669	300
690	670	299
691	670	298
692	671	297
693	671	296
694	672	295
695	673	294
696	673	292
697	674	292
698	675	290
699	676	289
700	676	288
701	677	287
702	677	286
703	678	285
704	679	284
705	679	283
706	680	282
707	681	281
708	682	280
709	683	279
710	683	277
711	684	276
712	684	275
713	685	274
714	686	273
715	686	272
716	688	271
717	688	270
718	689	269
719	689	268
720	690	267
721	691	266
722	691	265
723	692	263
724	693	262
725	693	261
726	694	260
727	694	259
728	695	258
729	696	257
730	696	256
731	697	255
732	697	254
733	698	253
734	698	251
735	699	250
736	700	249
737	700	248
738	701	247
739	702	246
740	702	245
741	703	244
742	703	243
743	704	242
744	704	241
745	705	240
746	706	239
747	706	238
748	707	237
749	707	235
750	708	234
751	709	233
752	709	232
753	710	231
754	711	230
755	711	229
756	712	228
757	713	227
758	713	226
759	714	225
760	714	224
761	715	223
762	715	222
763	716	221
764	717	220
765	717	219
766	718	218
767	718	217
768	719	216
769	720	215
770	720	214
771	721	213
772	721	212
773	722	210
774	723	209
775	723	208
776	724	207
777	724	206
778	726	205
779	726	204
780	727	203
781	727	202
782	728	201
783	728	200
784	729	199
785	729	198
786	730	197
787	731	196
788	732	195
789	732	194
790	733	193
791	733	192
792	734	191
793	734	190
794	735	189
795	736	188
796	736	187
797	737	186
798	737	185
799	738	184
800	739	183
801	740	182
802	741	181
803	742	180
804	742	179
805	743	178
806	744	178
807	745	177
808	745	176
809	746	175
810	746	174
811	747	173
812	747	172
813	748	171
814	748	170
815	749	169
816	750	168
817	751	167
818	751	166
819	752	165
820	753	164
821	753	163
822	754	162
823	754	161
824	755	160
825	755	159
826	756	158
827	757	157
828	758	156
829	758	155
830	759	154
831	759	153
832	760	152
833	761	151
834	761	150
835	762	149
836	762	148
837	763	147
838	764	146
839	765	145
840	765	144
841	766	143
842	767	142
843	767	141
844	768	140
845	769	140
846	770	139
847	770	138
848	771	137
849	771	136
850	772	135
851	773	134
852	773	133
853	774	132
854	774	131
855	775	130
856	776	129
857	777	128
858	777	127
859	778	126
860	778	125
861	779	124
862	779	123
863	780	122
864	781	121
865	781	120
866	782	120
867	783	119
868	783	118
869	784	117
870	784	116
871	785	115
872	785	114
873	786	113
874	786	112
875	787	111
876	788	110
877	788	109
878	789	108
879	790	107
880	790	106
881	791	105
882	791	104
883	792	103
884	792	103
885	793	102
886	793	101
887	794	100
888	795	99
889	796	98
890	796	97
891	797	96
892	797	95
893	798	94
894	798	93
895	799	92
896	799	91
897	800	90
898	801	90
899	801	89
900	802	88
901	803	87
902	803	86
903	804	85
904	804	84
905	805	83
906	805	82
907	806	81
908	807	80
909	807	79
910	808	78
911	808	78
912	809	77
913	810	76
914	810	75
915	811	74
916	811	73
917	812	72
918	812	71
919	813	70
920	814	69
921	815	68
922	815	68
923	816	67
924	816	66
925	817	65
926	817	64
927	818	63
928	818	62
929	819	61
930	820	60
931	820	59
932	821	59
933	822	58
934	822	57
935	823	56
936	823	55
937	824	54
938	825	53
939	825	52
940	826	51
941	827	50
942	827	50
943	828	49
944	829	48
945	829	47
946	830	46
947	830	45
948	831	44
949	831	43
950	832	42
951	833	42
952	833	41
953	834	40
954	834	39
955	835	38
956	836	37
957	836	36
958	837	35
959	837	34
960	838	34
961	838	33
962	839	32
963	840	31
964	841	30
965	841	29
966	842	28
967	842	27
968	843	26
969	843	26
970	844	25
971	844	24
972	845	23
973	846	22
974	846	21
975	847	20
976	848	19
977	848	19
978	849	18
979	850	17
980	850	16
981	851	15
982	851	14
983	852	13
984	853	12
985	854	12
986	854	11
987	855	10
988	855	9
989	856	8
990	856	7
991	857	6
992	858	6
993	859	5
994	859	4
995	860	3
996	860	2
997	861	1
998	861	0
999	862	0
